CNV_gene,Zvalue,p.value,p.adj
SKI,-8.30640011724727,9.86491945472527e-17,7.27911480977456e-16
RPL22,-9.25434264692337,2.15552642720085e-20,1.94396550008669e-19
MTOR,-8.46468738848006,2.56840660084188e-17,2.01744195904838e-16
PRDM2,-8.48895349988296,2.08506124919035e-17,1.66463086615689e-16
CASP9,-8.41769941969599,3.8394935561703e-17,2.9679894632618e-16
EPHA2,-8.38188740561491,5.20856484267837e-17,3.96339230997557e-16
PAX7,-8.33422774284366,7.80056489950986e-17,5.84442324009431e-16
ARID1A,-8.79566247896393,1.42206452717776e-18,1.17380580463656e-17
SFPQ,-9.26614959043339,1.92987048939558e-20,1.77329609119933e-19
THRAP3,-9.33316731942814,1.0275344258053e-20,9.62325510321499e-20
ZC3H12A,-8.96486455927676,3.10662423905222e-19,2.60849311106626e-18
MACF1,-9.57854613243859,9.84205633743531e-22,9.39819889476666e-21
CDKN2C,-9.81589174974629,9.6183764564892e-23,9.36829866862048e-22
JUN,-9.128117044512,6.9700998504202e-20,6.06149754849042e-19
JAK1,-9.01846863126764,1.90736802737601e-19,1.62962847251249e-18
FUBP1,-9.24557945576996,2.33969499475407e-20,2.07169356808224e-19
RPL5,-8.74263921752828,2.27726999563887e-18,1.84838414646022e-17
TRIM33,-7.4546741616226,9.00901984791488e-14,6.45204803813904e-13
NRAS,-7.32254577155524,2.43310284833159e-13,1.6927444101964e-12
CSDE1,-7.34746566838947,2.02000156504489e-13,1.42571124953168e-12
TXNIP,3.06536382457241,0.00217405354431444,0.0050902119042362
SETDB1,4.47381528977545,7.68361225955694e-06,3.01767675032599e-05
S100A7,4.63429900874065,3.58149013091058e-06,1.47812346928259e-05
TPM3,4.52216324136578,6.121082316346e-06,2.44341564595123e-05
ZBTB7B,4.23759462867348,2.25927207673227e-05,8.15011482495269e-05
RIT1,4.13038631413561,3.62154152777627e-05,0.000121633843036348
PRCC,4.110503690542,3.94796970055733e-05,0.000130793281916423
NTRK1,4.03676066600461,5.41943052794203e-05,0.00017250082791554
SPTA1,4.26579268841307,1.9919368292598e-05,7.2937837281919e-05
DDR2,4.03895008541429,5.36909880513026e-05,0.000172023099874897
DHX9,4.43086865897578,9.38542436568213e-06,3.59897768983244e-05
TPR,4.68368822387728,2.81758477149729e-06,1.18296192121007e-05
CDC73,4.16562928402287,3.10494903683622e-05,0.000107241856804202
PTPRC,4.79532399952153,1.62412111337495e-06,7.32358316864447e-06
ELF3,4.76521891817409,1.88648713472794e-06,8.20285030904025e-06
MDM4,4.63051239035192,3.64761953708381e-06,1.49276530635279e-05
ELK4,4.82290467207683,1.41482598858822e-06,6.43944164899498e-06
SLC45A3,4.86581238340326,1.13987612326838e-06,5.33768915415097e-06
IRF6,4.86593651836347,1.13916080946019e-06,5.33768915415097e-06
NUP133,4.88846449827571,1.01625519510762e-06,4.90016118829119e-06
RGS7,4.2851789251838,1.82592175197449e-05,6.73654464554225e-05
AKT3,4.51620289762112,6.29583439959447e-06,2.49274093707521e-05
LRP1B,-2.90140710881381,0.00371490901683985,0.00833714604240095
PTMA,-2.30270218448998,0.0212956052090043,0.0421583729137604
VHL,9.49741189720559,0,0
PPARG,9.86314939892424,0,0
RAF1,9.69586499791061,0,0
FBLN2,9.89336446965094,0,0
TGFBR2,10.1380177793833,0,0
MLH1,10.2489820775274,0,0
MYD88,10.3616933966257,0,0
CTNNB1,10.5866381562844,0,0
SETD2,10.0333766522782,0,0
RHOA,10.0377012857498,0,0
BAP1,9.6117112331357,0,0
PBRM1,9.74989970880248,0,0
MITF,7.90483114407869,2.66453525910038e-15,1.93675921071923e-14
ROBO2,7.30498646630021,2.77333711551364e-13,1.90227489472555e-12
EPHA3,4.73217534995488,2.2212639487762e-06,9.48908371100007e-06
TFG,4.68367746744827,2.8177327076051e-06,1.18296192121007e-05
ZBTB20,4.84673834788496,1.25507780190937e-06,5.82117037647487e-06
POLQ,4.92821868832252,8.29827054626975e-07,4.08207854144785e-06
STAG1,5.49504076258487,3.90620176204948e-08,2.21200030013732e-07
PIK3CB,5.7678318940263,8.02978417091538e-09,4.82778381634048e-08
ATR,5.70335445233241,1.17472347405112e-08,6.89265460075778e-08
MECOM,5.85104096993266,4.8850585798732e-09,2.97377941049781e-08
TBL1XR1,5.93290006013761,2.97630031731444e-09,1.8824133175742e-08
PIK3CA,5.8635689167953,4.5302268603109e-09,2.79268415312837e-08
SOX2,5.53556662206243,3.10223782218344e-08,1.77739978753334e-07
MAP3K13,5.46187077803838,4.71142989066919e-08,2.63731765144356e-07
ETV5,5.39019286522231,7.03821074754529e-08,3.8084540378384e-07
TP63,5.65517459944569,1.55687924774384e-08,9.02619278156248e-08
MB21D2,5.91024281114294,3.41603811904179e-09,2.13283405637609e-08
MUC4,6.36705877379124,1.92687421574078e-10,1.28546266173392e-09
SDHA,5.29414213084988,1.19576406998334e-07,6.25052004062955e-07
TERT,5.3903880198652,7.03057141393515e-08,3.8084540378384e-07
CDH10,6.51018442698151,7.5058625981228e-11,5.07688206289695e-10
DROSHA,6.009667388214,1.85904336369447e-09,1.1912554185779e-08
IL7R,6.0171422479709,1.77523085120868e-09,1.16829381694409e-08
NIPBL,6.01256868034376,1.82606418874798e-09,1.18572434656035e-08
MSH3,2.23199926079124,0.0256150117889893,0.0498980429649511
CSF1R,2.31116457878751,0.0208237660531394,0.0413925472158322
CD74,2.4139549176995,0.0157804147519494,0.0320210916008306
HGF,-2.29716211934907,0.021609523182048,0.0426066307273578
GRM3,-2.58185741068201,0.00982701774716491,0.0202786340799547
AKAP9,-2.92598819830395,0.00343363962686693,0.0077415856402046
TRRAP,-3.10730459712533,0.00188801754904154,0.00452938200188783
CUX1,-3.27240561836599,0.00106636469213967,0.00264958982179602
PIK3CG,-3.65340186967392,0.000258788718131416,0.000732733172848835
MET,-3.68477626226254,0.000228903626980857,0.000655741566703985
CREB3L2,-3.84271138016996,0.000121682534527671,0.000363554566349546
BRAF,-3.77172255816037,0.000162124463199297,0.000478512809563986
KEL,-3.52799888564498,0.000418713919348357,0.00116522102127228
CNTNAP2,-4.18646302665283,2.83335062030303e-05,9.92691907976673e-05
CUL1,-3.71790240451736,0.00020088384290814,0.000582323997001573
RHEB,-4.13489045372186,3.55123992628517e-05,0.000120100961395894
KMT2C,-4.26387404056342,2.00912730729885e-05,7.30182834816821e-05
