SNV_gene,Zvalue,p.value,p.adj
A1CF,3.48799888529356,0.000486650107806907,0.000834257327668984
AKAP9,6.73878669292207,1.59714463876526e-11,1.55151193480054e-10
AMER1,2.99722765347708,0.0027244717428474,0.00424268882092267
ANK1,5.78876424606839,7.09061342973882e-09,3.52801253577249e-08
APOB,8.84122644315913,0,0
ARHGEF10,4.37745266918611,1.20074425304928e-05,2.98721741002504e-05
ARID1A,4.00180568900542,6.28609136188452e-05,0.000139387243241787
ARID1B,5.52791112220905,3.24066142809443e-08,1.34917332924748e-07
ARID5B,2.59100497820028,0.00956961071862872,0.0140446085366925
ASXL1,3.30248763916312,0.000958313115110299,0.00158939736164635
ASXL2,3.91128592115547,9.18060103940466e-05,0.000187284261203855
ATF7IP,2.31886154485159,0.0204025448232186,0.0281224266482202
ATR,4.59389451662464,4.35049351188432e-06,1.15259828107065e-05
ATRX,-7.96869275865402,1.6036158929389e-15,2.72614701799613e-14
BAP1,4.43280481659461,9.3015064537294e-06,2.371884145701e-05
BAZ1A,2.57769766643196,0.00994609774565314,0.0142887601416425
BCL9L,5.93715023264253,2.90018897786126e-09,1.55694355653605e-08
BCLAF1,6.0280418426624,1.65958091713492e-09,9.9574855028095e-09
BCORL1,5.23082447880621,1.68755682983246e-07,5.93554471182451e-07
BIRC6,5.74975815850426,8.9371192668608e-09,4.2719261492582e-08
BRAF,6.58712403832175,4.48427961430298e-11,3.65917216527123e-10
BRCA1,3.70809754750182,0.00020882221802343,0.000398128340904483
BRCA2,4.79285535044124,1.6442417896112e-06,4.72430035324908e-06
CCDC6,3.68595309934183,0.000227848312682744,0.000422555052611633
CDH1,7.19919965392738,6.05737682235485e-13,6.50370985137047e-12
CDH10,8.79752292636328,0,0
CDH17,3.32655871768035,0.000879254929919027,0.00147022955494657
CDKN2A,4.05846587755664,4.93961493319706e-05,0.000113222634423843
CHD2,4.82692616671383,1.38656496928569e-06,4.05854662505994e-06
CIC,-3.97646527853013,6.99472063283025e-05,0.000150202422010249
CNBD1,4.0151981298052,5.93958770738201e-05,0.000133151196956696
CNTNAP2,8.24274063173457,2.22044604925031e-16,4.11791812770058e-15
COL2A1,3.92140266841154,8.80350076493119e-05,0.000181405470307673
COL5A1,6.23749343648159,4.44637660024227e-10,3.35948454240527e-09
CREBBP,5.33488441688684,9.56054373446591e-08,3.48276950326972e-07
CSMD3,10.8920272600235,0,0
CTNNA2,7.91396813365906,2.44249065417534e-15,3.83283148809054e-14
CUL1,3.87874953959519,0.000104994787197388,0.000212068679091753
CUX1,5.56419427958181,2.63366404240628e-08,1.14312226521464e-07
DCC,6.16618085381854,6.99590607666778e-10,4.84905449127382e-09
DIAPH2,5.01088973041312,5.41789547225946e-07,1.7269541817827e-06
DMD,6.43367403983618,1.24555921132696e-10,9.7728491965654e-10
DNAJB1,2.15286611794364,0.0313292020022629,0.0420470868977738
EIF3E,4.6071414556179,4.08242293969963e-06,1.09580826276148e-05
EP300,6.00264798331509,1.94125182595428e-09,1.10004270137409e-08
EPAS1,3.69372566607453,0.000220992212498272,0.000413600104125207
EPHA2,3.76096618156963,0.000169258314786092,0.000325742417135497
EPHA3,4.04356936330007,5.26435723759988e-05,0.000119325430718931
EPHA7,5.74848712396113,9.00455021657365e-09,4.2719261492582e-08
ERBB3,5.35487516725928,8.56155044637319e-08,3.1755568928366e-07
ERBB4,6.12202718462643,9.23922494067142e-10,5.92692303569287e-09
ETV1,2.43765428015,0.0147829045251113,0.020713461333394
FAM47C,6.64435071362905,3.04556380115173e-11,2.58872923097897e-10
FAT1,6.16315502246743,7.13096248716738e-10,4.84905449127382e-09
FAT3,7.28858104759643,3.13304937549219e-13,3.55078929222448e-12
FAT4,7.73220966301502,1.06581410364015e-14,1.35891298214119e-13
FBLN2,2.29761510066714,0.0215837054290653,0.0295508450169753
FLNA,5.37444961614105,7.68169585718681e-08,2.90197399049279e-07
FLT3,4.62408144730781,3.76262011814177e-06,1.02343267213456e-05
FLT4,4.9376402140506,7.90735515066032e-07,2.40761261303687e-06
GABRA6,4.25383953247941,2.10135914748832e-05,5.04326195397198e-05
GPC5,5.73923149211442,9.51071421617655e-09,4.40951295477277e-08
GRIN2A,6.97293434441461,3.10396153224701e-12,3.16604076289195e-11
GRM3,3.57947609952231,0.000344283732900408,0.000605464495790372
GTF2I,8.36612252231925,0,0
HGF,6.0495777256839,1.45225986791786e-09,8.9776064562195e-09
HIF1A,2.11349502511317,0.0345584203698324,0.0454833403577149
HIP1,2.80250301449061,0.0050707742528322,0.0076061613792483
HNF1A,2.43664218925181,0.0148243399738996,0.020713461333394
HUWE1,7.73991483014002,9.99200722162641e-15,1.35891298214119e-13
IDH1,-24.7340200713013,4.60671103488055e-135,9.39769051115632e-134
IL7R,5.55339125185347,2.80179996980934e-08,1.19076498716897e-07
INPPL1,3.92361663275465,8.72295054821226e-05,0.000181405470307673
IRS4,3.84330206292255,0.000121389909250924,0.000242779818501848
ISX,2.56467240929575,0.010327325764125,0.0147326885026678
JAK2,3.5213657502402,0.000429329998482997,0.000742231522801113
KANSL1,3.24750816234088,0.0011642032480832,0.00189997970087177
KEAP1,3.69856635099946,0.000216820674241891,0.000409550162456905
KIT,3.63917619179588,0.000273511622244538,0.000495641320877425
KMT2A,5.59244090310072,2.23899374596215e-08,9.92945052557127e-08
KMT2B,4.16533599483946,3.10894352391067e-05,7.37470324276484e-05
KMT2C,5.44229490120711,5.25985042187926e-08,2.02454620011957e-07
KMT2D,6.00496144515954,1.91377380609481e-09,1.10004270137409e-08
LARP4B,3.98448382783123,6.76269622641446e-05,0.000146764896828569
LRP1B,10.3514174112607,0,0
MACC1,4.09659077199142,4.19279128471839e-05,9.83137266761553e-05
MACF1,7.82138526140947,5.32907051820075e-15,7.76521704080681e-14
MALAT1,5.4882864027382,4.05851643403565e-08,1.62340657361426e-07
MAP2K1,5.20894477757174,1.8991762207321e-07,6.56664320388727e-07
MAP3K13,4.43945878231835,9.01853839629929e-06,2.32883776309501e-05
MAP3K4,3.58837248320289,0.000332748671795446,0.000595444991633957
MB21D2,4.26458551914367,2.00273626926872e-05,4.86378808250976e-05
MECOM,3.10687450440187,0.0018907664654404,0.00299004929418481
MED12,4.8260552992969,1.39263854781468e-06,4.05854662505994e-06
MUC16,10.148606935142,0,0
MUC4,4.77873940091333,1.76397644913173e-06,4.99793327253991e-06
MUC6,3.92550257282533,8.65488449417473e-05,0.000181405470307673
MYC,2.58670788216012,0.00968977009048766,0.0141193792747106
MYOD1,2.99030152812075,0.00278702180149892,0.00430721551140743
N4BP2,3.56456679772092,0.000364457629531856,0.000635464584824774
NCOA2,4.96236126282114,6.96413088752124e-07,2.15561780373105e-06
NCOR2,5.84072783564504,5.19732523684979e-09,2.71860089312143e-08
NFATC2,4.49753009612024,6.87474319138737e-06,1.79800975774747e-05
NFE2L2,2.76032699330476,0.00577435329974629,0.00859830710327185
NOTCH1,3.04318314920859,0.00234089813931049,0.00367340938784107
NSD1,3.10799892147231,0.0018835875547174,0.00299004929418481
NTRK1,4.72387204469054,2.31396039795939e-06,6.46640987922898e-06
NTRK3,4.93090438615403,8.18497912780103e-07,2.45549373834031e-06
PATZ1,2.62145135871684,0.00875562557011,0.0129430986688583
PBRM1,10.4118424172108,0,0
PDGFRA,3.63820353932295,0.000274546417937005,0.000495641320877425
PDS5B,4.42565500989994,9.61500833773776e-06,2.42155765543025e-05
PGR,3.42512790408719,0.000614510048609018,0.00104466708263533
PIK3CA,5.48450776356204,4.14622278732679e-08,1.62659509348974e-07
PIK3CG,4.66349613668267,3.1088202436802e-06,8.57026121230758e-06
PLCB4,5.13343176565804,2.84506206149615e-07,9.36117194427766e-07
PLXNB2,5.09063998015619,3.56857015493262e-07,1.15553700254961e-06
POLQ,5.23134976974144,1.68276762080311e-07,5.93554471182451e-07
PRDM2,3.94528406284227,7.97054325951674e-05,0.000169374044264731
PREX2,6.16920931459431,6.86323220477902e-10,4.84905449127382e-09
PTPN13,4.07491160421665,4.60318287778261e-05,0.000106710148530415
PTPRB,5.98762806413953,2.12923279008237e-09,1.17395537615352e-08
PTPRD,6.70150746423926,2.06279437975354e-11,1.82960892812923e-10
PTPRK,6.12103182400647,9.29713417363587e-10,5.92692303569287e-09
PTPRT,6.70431898212031,2.02347028022132e-11,1.82960892812923e-10
RASA1,3.99569145235802,6.45057026680274e-05,0.000141496380045995
RB1,2.19316724185635,0.0282953317769017,0.038226805844291
RBM10,2.38984412451231,0.016855524873181,0.0233913406403328
RET,3.16472082970843,0.001552318146673,0.00251327699937534
RGS7,5.81014765819201,6.24177665109471e-09,3.1833060920583e-08
ROBO2,3.67887634847955,0.000234263806158541,0.000430538886994076
ROS1,5.15601747382947,2.52257366328834e-07,8.43614798870199e-07
RSPO2,2.81669505505465,0.00485205702560343,0.00733199728313407
SDHA,2.13098762781504,0.0330901614586556,0.0440109868805735
SETBP1,5.50120403559803,3.77206383905815e-08,1.53900204633572e-07
SLC34A2,3.24766942889984,0.0011635436662254,0.00189997970087177
SOX9,2.12936613153575,0.0332239802921976,0.0440109868805735
SPTA1,8.5108158067012,0,0
STAG1,2.81809657837972,0.0048309276425289,0.00733199728313407
SUZ12,2.21171548864916,0.0269863296207262,0.0367014082841877
TET2,3.58352760086283,0.000338984925493113,0.00060132978087474
TP53,-4.34147249982007,1.41530995120963e-05,3.47859313309354e-05
TP63,2.90151752108584,0.00371360011544453,0.00569604829737356
TRRAP,7.29495912172377,2.98649993624167e-13,3.55078929222448e-12
TSC1,2.5822434210923,0.0098160321963594,0.0142019189223923
TSC2,3.76596573273619,0.000165906547441086,0.000323278999946197
UBR5,4.96208468046366,6.97405760030634e-07,2.15561780373105e-06
USP9X,5.16993788543813,2.34171815716167e-07,7.96184173434966e-07
VHL,10.888108563959,0,0
WT1,3.76523336425123,0.000166393602913484,0.000323278999946197
ZBTB20,3.12859346566951,0.00175645138586589,0.00282138647808379
ZBTB7B,2.51992998374141,0.0117378179927954,0.0166285754897935
ZEB1,5.64380786831698,1.6632968558028e-08,7.54027907963935e-08
ZFHX3,3.79700480092692,0.000146454954056852,0.000290066122598036
ZNF331,3.39579431712654,0.000684297604758077,0.00115369182950949
